name,time,AccX,AccY,AccZ,MagX,MagY,MagZ,deposit,gas,id,latitude,longitude,temperature
vehicledataset,1636543300643000000,0.021973327,-0.097415082,1.246498,-2,-18,69,0,0,1,41.798033,1.954,28.029682
vehicledataset,1636543301643000000,0.12561419,-0.12732322,0.98062075,2,-16,76,0,0,1,41.798033,1.954,28.317219
vehicledataset,1636543302643000000,-0.30591754,0.15784173,0.75649281,1,-17,68,0,0,1,41.797967,1.9538,27.885914
vehicledataset,1636543303643000000,-0.19458602,-0.12488174,1.1308939,0,-22,74,0,0,1,41.797967,1.9538,27.83799
vehicledataset,1636543304643000000,-0.060182501,-0.10364086,1.0680258,1,-18,76,0,0,1,41.797883,1.9536,28.029682
vehicledataset,1636543305643000000,-0.13940855,-0.010010071,0.92996002,2,-20,77,0,0,1,41.797883,1.9536,28.029682
vehicledataset,1636543306643000000,-0.043946654,-0.068239387,0.97634816,6,-15,71,0,0,1,41.7978,1.9533833,28.317219
vehicledataset,1636543307643000000,-0.36304819,0.025757622,0.74123356,2,-17,72,0,0,1,41.797733,1.9532,28.317219
vehicledataset,1636543308643000000,0.065431684,0.14636677,0.83181249,1,-19,75,0,0,1,41.797733,1.9532,28.221375
vehicledataset,1636543309643000000,0.17737358,0.056276131,1.2922758,-1,-19,72,0,0,1,41.797683,1.9530333,28.317219
vehicledataset,1636543310643000000,-0.17505417,-0.009643849,0.71803949,-1,-20,74,0,0,1,41.797683,1.9530333,28.221375
vehicledataset,1636543311643000000,-0.041627247,0.058229316,1.1332133,2,-18,74,0,0,1,41.797633,1.9529,28.077606
vehicledataset,1636543312643000000,-0.076052126,-0.21143223,1.0958586,1,-18,72,0,0,1,41.797633,1.9529,28.17345
vehicledataset,1636543313643000000,0.32935575,-0.21973327,1.375164,0,-20,74,0,0,1,41.797617,1.95275,28.317219
vehicledataset,1636543314643000000,0.25855281,0.095950194,1.1089206,-3,-19,73,0,0,1,41.797617,1.95275,28.17345
vehicledataset,1636543315643000000,0.079103977,0.036622211,0.94155705,-2,-19,69,0,0,1,41.797583,1.9525833,28.221375
vehicledataset,1636543316643000000,-0.010376293,0.055787835,1.1465194,0,-16,68,0,0,1,41.797583,1.9525833,28.221375
vehicledataset,1636543317643000000,-0.13391522,0.07165746,1.0117496,-3,-21,73,0,0,1,41.797517,1.9524,28.221375
vehicledataset,1636543318643000000,0.097293008,-0.039796136,1.0896329,-1,-23,70,0,0,1,41.797517,1.9524,28.317219
vehicledataset,1636543319643000000,-0.053224281,0.069704276,1.0561846,2,-21,70,0,0,1,41.797433,1.9522333,28.365143
vehicledataset,1636543320643000000,-0.074831385,0.52345347,0.74965667,2,-20,75,0,0,1,41.797433,1.9522333,28.077606
vehicledataset,1636543321643000000,0.012573626,0.034180731,0.91848506,1,-20,71,0,0,1,41.797367,1.9520167,28.221375
vehicledataset,1636543322643000000,-0.17224647,0.020508438,0.91018403,-2,-20,70,0,0,1,41.797367,1.9520167,28.365143
vehicledataset,1636543323643000000,0.22510453,0.028931547,1.3469649,-2,-15,69,0,0,1,41.7973,1.9518,28.317219
vehicledataset,1636543324643000000,0.032105472,0.027832881,1.2690817,-4,-21,72,0,0,1,41.7973,1.9518,27.98176
vehicledataset,1636543325643000000,0.34705649,-0.21814631,1.1979125,1,-20,71,0,0,1,41.797217,1.9515667,28.077606
vehicledataset,1636543326643000000,0.07678457,-0.11865596,0.98147526,-2,-20,76,0,0,1,41.797217,1.9515667,28.317219
vehicledataset,1636543327643000000,-0.066164129,0.0075685904,1.1870479,-2,-22,71,0,0,1,41.797117,1.95135,28.508911
vehicledataset,1636543328643000000,-0.036133915,0.093752861,1.1031831,1,-18,71,0,0,1,41.797117,1.95135,28.077606
